latitude,longitude,elevation,segment dist,total distance
37.828580,-122.164980,,0.0313,14.17,114
37.828780,-122.165160,,0.0169,14.19,114
37.829530,-122.165620,,0.0576,14.24,114
37.829840,-122.165900,,0.0263,14.27,114
37.830070,-122.165980,,0.0164,14.29,57
37.830390,-122.166230,,0.0260,14.31,114
37.830680,-122.166500,,0.0248,14.34,114
37.831020,-122.166910,,0.0324,14.37,114
37.831890,-122.168075,,0.0875,14.46,114
37.832250,-122.168480,,0.0333,14.49,114
37.832590,-122.169030,,0.0381,14.53,114
37.833460,-122.170200,,0.0877,14.62,114
37.833560,-122.170380,,0.0120,14.63,114
37.834070,-122.171080,,0.0520,14.68,114
37.834840,-122.171960,,0.0717,14.75,114
37.835170,-122.172380,,0.0323,14.78,114
37.835680,-122.172970,,0.0477,14.83,114
37.836130,-122.173530,,0.0436,14.88,114
37.836410,-122.174170,,0.0399,14.92,114
37.836700,-122.174920,,0.0456,14.96,114
37.837060,-122.176010,,0.0645,15.03,114
37.837440,-122.177000,,0.0601,15.09,114
37.837805,-122.178025,,0.0614,15.15,114
37.838430,-122.179600,,0.0962,15.24,114
37.838720,-122.180130,,0.0352,15.28,114
37.839210,-122.180850,,0.0519,15.33,114
37.839440,-122.181080,,0.0202,15.35,114
37.839660,-122.181240,,0.0175,15.37,114
37.839770,-122.181370,,0.0104,15.38,114
37.839870,-122.181650,,0.0167,15.40,114
37.840030,-122.182630,,0.0546,15.45,114
37.840110,-122.183490,,0.0473,15.50,171
37.840400,-122.184080,,0.0379,15.54,114
37.840660,-122.184440,,0.0266,15.56,114
37.840680,-122.184560,,0.0066,15.57,114
37.840610,-122.184720,,0.0099,15.58,229
37.840530,-122.184720,,0,15.58,286
37.840450,-122.184650,,0.0067,15.59,0
37.839870,-122.183570,,0.0713,15.66,0
37.839720,-122.183390,,0.0142,15.67,0
37.839560,-122.183310,,0.0118,15.68,286
37.839510,-122.182900,,0.0226,15.71,0
37.839460,-122.182770,,0.0078,15.71,0
37.839290,-122.182540,,0.0172,15.73,0
37.839140,-122.182130,,0.0246,15.76,0
37.839120,-122.181840,,0.0159,15.77,0
37.839080,-122.181720,,0.0071,15.78,0
37.838710,-122.181370,,0.0319,15.81,0
37.838400,-122.181230,,0.0227,15.83,286
37.838260,-122.181150,,0.0106,15.84,286
37.838080,-122.180660,,0.0295,15.87,0
37.838030,-122.180530,,0.0078,15.88,0
37.837980,-122.180470,,0.0047,15.89,0
37.837810,-122.180380,,0.0127,15.90,286
37.837740,-122.180380,,0,15.90,286
37.837630,-122.180410,,0.0077,15.91,286
37.837070,-122.180840,,0.0452,15.95,229
37.836980,-122.180930,,0.0079,15.96,229
37.836890,-122.181140,,0.0130,15.97,229
37.836750,-122.181650,,0.0294,16.00,229
37.836680,-122.181770,,0.0081,16.01,229
37.836590,-122.181840,,0.0073,16.02,229
37.836450,-122.181900,,0.0102,16.03,286
37.836360,-122.181830,,0.0073,16.04,286
37.836320,-122.181750,,0.0051,16.04,0
37.836170,-122.181100,,0.0369,16.08,0
37.836110,-122.181050,,0.0049,16.08,0
37.836000,-122.181030,,0.0076,16.09,286
37.835690,-122.181150,,0.0224,16.11,286
37.835500,-122.181290,,0.0152,16.13,229
37.835400,-122.181340,,0.0074,16.14,286
37.835220,-122.181300,,0.0126,16.15,286
37.835030,-122.181080,,0.0178,16.17,0
37.834930,-122.181030,,0.0074,16.17,286
37.834650,-122.180960,,0.0197,16.19,286
37.834600,-122.180890,,0.0051,16.20,0
37.834600,-122.180710,,0,16.20,0
37.834720,-122.180530,,0.0128,16.21,0
37.834840,-122.180430,,0.0099,16.22,0
37.835380,-122.180160,,0.0401,16.26,57
37.835840,-122.179770,,0.0382,16.30,0
37.835920,-122.179690,,0.0070,16.31,0
37.835950,-122.179630,,0.0038,16.31,0
37.835900,-122.179550,,0.0055,16.32,0
37.835820,-122.179560,,0.0055,16.32,286
37.835730,-122.179600,,0.0065,16.33,286
37.834770,-122.180170,,0.0733,16.40,229
37.834520,-122.180350,,0.0198,16.42,229
37.834280,-122.180480,,0.0180,16.44,286
37.833890,-122.180890,,0.0350,16.48,229
37.833860,-122.181020,,0.0073,16.48,229
37.833860,-122.181110,,0,16.48,171
37.833960,-122.181290,,0.0120,16.49,114
37.834060,-122.181340,,0.0074,16.50,57
37.834280,-122.181380,,0.0153,16.52,57
37.834550,-122.181500,,0.0197,16.54,57
37.834600,-122.181560,,0.0047,16.54,114
37.834620,-122.181650,,0.0051,16.55,114
37.834450,-122.182350,,0.0400,16.59,229
37.834440,-122.182470,,0.0065,16.59,171
37.834470,-122.182570,,0.0058,16.60,114
37.834620,-122.182680,,0.0119,16.61,114
37.835020,-122.182720,,0.0277,16.64,57
37.835130,-122.182750,,0.0077,16.65,57
37.835220,-122.182870,,0.0090,16.66,114
37.835220,-122.182930,,0,16.66,171
37.835150,-122.183180,,0.0144,16.67,229
37.835250,-122.183470,,0.0172,16.69,114
37.835440,-122.183600,,0.0149,16.70,114
37.835550,-122.183710,,0.0096,16.71,114
37.835840,-122.184210,,0.0338,16.75,114
37.835910,-122.184340,,0.0085,16.76,114
37.835940,-122.184510,,0.0095,16.76,114
37.835830,-122.184770,,0.0161,16.78,229
37.835750,-122.184790,,0.0056,16.79,286
37.835570,-122.184870,,0.0131,16.80,286
37.835400,-122.184840,,0.0118,16.81,286
37.835290,-122.184740,,0.0093,16.82,0
